epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.182,1.04761,1.59208,1.20245,0.94221,0.88071,0.93454,0.69224,0.90081,0.79762,1.14184,0.00332825,0.00332825,0.00332825
2,647.115,0.89895,0.74036,1.10891,0.86673,0.66583,0.73402,0.52301,1.20831,1.22063,1.40849,0.00652969,0.00652969,0.00652969
3,965.001,0.96357,0.70335,1.14037,0.68713,0.50452,0.52484,0.31129,1.71229,1.8886,1.8195,0.00959912,0.00959912,0.00959912
4,1278.53,0.94817,0.66521,1.13193,0.91438,0.82963,0.89956,0.62932,0.97451,0.69328,1.18712,0.009406,0.009406,0.009406
5,1592.83,0.85114,0.58834,1.08655,0.84152,0.70045,0.7806,0.59259,1.15835,1.39427,1.44851,0.009208,0.009208,0.009208
6,1907.59,0.8029,0.54983,1.06556,0.7418,0.38866,0.45017,0.20746,2.39114,2.75047,2.38088,0.00901,0.00901,0.00901
7,2219.85,0.7611,0.51977,1.0458,0.9671,0.96021,0.97982,0.75328,0.82,0.40436,1.06377,0.008812,0.008812,0.008812
8,2530.75,0.72521,0.49293,1.03094,0.9471,0.68618,0.78286,0.64108,1.02379,1.34908,1.36164,0.008614,0.008614,0.008614
9,2843.78,0.71018,0.48164,1.02563,0.96514,0.94262,0.9847,0.80877,0.76277,0.35792,1.02052,0.008416,0.008416,0.008416
10,3156.03,0.69232,0.46968,1.01697,0.9736,0.95974,0.98704,0.83392,0.69112,0.32982,1.00638,0.008218,0.008218,0.008218
11,3470.17,0.67081,0.45519,1.00746,0.98139,0.96449,0.98856,0.84831,0.65519,0.31091,0.9832,0.00802,0.00802,0.00802
12,3786.52,0.65932,0.44558,1.00228,0.96898,0.95893,0.98957,0.85796,0.62832,0.30201,0.97116,0.007822,0.007822,0.007822
