epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.281,1.00913,1.51244,1.20801,0.95384,0.96086,0.98243,0.76279,0.73384,0.71021,1.07147,0.00332667,0.00332667,0.00332667
2,477.589,0.85879,0.7382,1.11742,0.94534,0.96269,0.97776,0.76229,0.71825,0.5046,1.08453,0.00652813,0.00652813,0.00652813
3,716.163,0.90866,0.68543,1.14203,0.78945,0.65867,0.75612,0.4407,1.39354,1.61738,1.55802,0.0095976,0.0095976,0.0095976
4,956.154,0.90574,0.65205,1.13191,0.79466,0.75883,0.80691,0.52006,1.20047,1.0222,1.45958,0.009406,0.009406,0.009406
5,1191.15,0.81518,0.58218,1.09149,0.97546,0.97567,0.99095,0.8219,0.62744,0.35802,1.03027,0.009208,0.009208,0.009208
6,1431.24,0.7636,0.54728,1.0675,0.97366,0.9745,0.99028,0.84394,0.56838,0.3451,1.01092,0.00901,0.00901,0.00901
7,1670.06,0.72613,0.51647,1.04969,0.97922,0.98152,0.99268,0.90338,0.45588,0.28396,0.92055,0.008812,0.008812,0.008812
8,1906.66,0.69447,0.50178,1.03666,0.90125,0.89445,0.94779,0.7403,0.85791,0.66819,1.18014,0.008614,0.008614,0.008614
9,2145.1,0.66986,0.48156,1.02877,0.984,0.9842,0.99387,0.92324,0.41424,0.25276,0.90749,0.008416,0.008416,0.008416
10,2382.75,0.64742,0.46591,1.01728,0.97607,0.97221,0.99119,0.89939,0.46844,0.30232,0.92796,0.008218,0.008218,0.008218
11,2620.27,0.63822,0.46022,1.01477,0.98538,0.98856,0.99387,0.93933,0.36495,0.23797,0.87996,0.00802,0.00802,0.00802
12,2857.92,0.62412,0.44948,1.00631,0.98428,0.98633,0.99388,0.9359,0.38238,0.23254,0.8811,0.007822,0.007822,0.007822
13,3091.5,0.61121,0.43852,1.00157,0.98541,0.99052,0.9937,0.94719,0.34595,0.21625,0.87376,0.007624,0.007624,0.007624
14,3325.57,0.59943,0.42941,0.99519,0.98852,0.99014,0.99416,0.95815,0.31228,0.20328,0.85619,0.007426,0.007426,0.007426
15,3559.89,0.59237,0.42677,0.99434,0.98655,0.98989,0.9945,0.94784,0.35728,0.21174,0.86476,0.007228,0.007228,0.007228
16,3795.85,0.5862,0.42039,0.99288,0.99133,0.99107,0.99449,0.96362,0.30147,0.19044,0.85452,0.00703,0.00703,0.00703
17,4036.91,0.57202,0.41461,0.98767,0.98837,0.99182,0.9945,0.96298,0.30065,0.18907,0.8519,0.006832,0.006832,0.006832
18,4277.91,0.56431,0.41069,0.98507,0.98968,0.99139,0.99463,0.96789,0.27826,0.17689,0.84349,0.006634,0.006634,0.006634
19,4508.33,0.5566,0.40014,0.9803,0.98922,0.99417,0.99462,0.96885,0.28147,0.17556,0.84615,0.006436,0.006436,0.006436
20,4743.1,0.55496,0.40111,0.9812,0.99153,0.99283,0.99471,0.97176,0.26733,0.16928,0.83777,0.006238,0.006238,0.006238
21,4975.86,0.54607,0.39652,0.97571,0.99135,0.99307,0.99471,0.97114,0.26681,0.16894,0.83839,0.00604,0.00604,0.00604
