epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.978,1.05591,1.4655,1.19782,0.94917,0.89003,0.95342,0.706,0.87137,0.71103,1.10941,0.00332825,0.00332825,0.00332825
2,640.732,0.89796,0.72957,1.10667,0.91937,0.8187,0.89732,0.63831,1.01507,0.7843,1.23029,0.00652969,0.00652969,0.00652969
3,955.397,0.9438,0.6863,1.13061,0.34445,0.2387,0.17667,0.05996,3.44737,3.51544,3.14248,0.00959912,0.00959912,0.00959912
4,1276.73,0.92164,0.64977,1.11721,0.77,0.54043,0.62907,0.45764,1.34307,1.72633,1.53748,0.009406,0.009406,0.009406
5,1595.53,0.83591,0.57634,1.07736,0.96938,0.93374,0.97842,0.78023,0.74672,0.41843,1.04391,0.009208,0.009208,0.009208
6,1913.09,0.78692,0.53902,1.05504,0.93994,0.81249,0.88615,0.69237,0.94202,0.73504,1.20482,0.00901,0.00901,0.00901
7,2250.23,0.74985,0.5142,1.04001,0.57716,0.53262,0.54737,0.34659,1.56376,1.9298,1.65843,0.008812,0.008812,0.008812
8,2563.01,0.7129,0.48735,1.02236,0.96928,0.9051,0.97133,0.74558,0.88011,0.43967,1.08975,0.008614,0.008614,0.008614
9,2872.66,0.69911,0.47716,1.01804,0.94419,0.68469,0.78644,0.62015,1.06769,1.26506,1.30865,0.008416,0.008416,0.008416
10,3178.79,0.68166,0.46372,1.01151,0.97858,0.95433,0.98502,0.83631,0.67551,0.33728,0.9862,0.008218,0.008218,0.008218
11,3490.21,0.66316,0.45331,1.00315,0.98043,0.95667,0.98615,0.85789,0.62686,0.31628,0.9717,0.00802,0.00802,0.00802
12,3797.55,0.65307,0.44534,0.99832,0.98052,0.96115,0.98627,0.83674,0.67839,0.32158,1.01149,0.007822,0.007822,0.007822
13,4102.88,0.63981,0.43549,0.99452,0.98574,0.96158,0.99007,0.86369,0.62151,0.29223,0.96502,0.007624,0.007624,0.007624
14,4423.67,0.63184,0.42807,0.98837,0.95391,0.97379,0.99092,0.87721,0.58415,0.28427,0.94666,0.007426,0.007426,0.007426
15,4730.57,0.62407,0.42428,0.98837,0.98351,0.96715,0.99114,0.87341,0.59656,0.28351,0.94687,0.007228,0.007228,0.007228
16,5040.03,0.61172,0.41529,0.98183,0.97945,0.96492,0.99023,0.88159,0.58313,0.2799,0.95003,0.00703,0.00703,0.00703
17,5345.11,0.60465,0.4123,0.98082,0.98828,0.96572,0.9918,0.88346,0.57905,0.27342,0.94328,0.006832,0.006832,0.006832
18,5649.1,0.59986,0.40488,0.97791,0.98919,0.9688,0.99117,0.88233,0.58283,0.26816,0.94496,0.006634,0.006634,0.006634
19,5954.63,0.5942,0.40074,0.97655,0.9853,0.96355,0.99119,0.88572,0.57163,0.26008,0.94292,0.006436,0.006436,0.006436
20,6259.58,0.58396,0.39378,0.97353,0.98253,0.95053,0.98982,0.88674,0.56704,0.26219,0.94067,0.006238,0.006238,0.006238
21,6566.25,0.57731,0.39266,0.96955,0.97817,0.93804,0.99005,0.88475,0.57087,0.26697,0.94013,0.00604,0.00604,0.00604
22,6871.61,0.56959,0.38367,0.96561,0.96346,0.96503,0.99047,0.88708,0.57175,0.26216,0.94168,0.005842,0.005842,0.005842
23,7173.54,0.56524,0.38166,0.96466,0.98217,0.9506,0.99084,0.89119,0.55785,0.25558,0.93737,0.005644,0.005644,0.005644
24,7480.41,0.56047,0.38001,0.96362,0.98621,0.95464,0.99095,0.89101,0.55753,0.25539,0.93845,0.005446,0.005446,0.005446
25,7787.75,0.55272,0.3742,0.96034,0.98861,0.95951,0.99145,0.89208,0.55584,0.25222,0.93754,0.005248,0.005248,0.005248
26,8091.67,0.55163,0.37513,0.9606,0.98981,0.96117,0.99168,0.89218,0.55448,0.25064,0.93768,0.00505,0.00505,0.00505
27,8396.56,0.5447,0.36923,0.95589,0.98887,0.96063,0.99131,0.89349,0.55055,0.2497,0.9353,0.004852,0.004852,0.004852
28,8703.56,0.54017,0.36705,0.95659,0.9873,0.96204,0.99116,0.89397,0.55082,0.24837,0.93517,0.004654,0.004654,0.004654
29,9007.89,0.53499,0.36033,0.95512,0.98878,0.96268,0.99124,0.89425,0.55066,0.24744,0.93514,0.004456,0.004456,0.004456
30,9312.58,0.52791,0.35665,0.95272,0.98938,0.96468,0.99154,0.89461,0.55173,0.24586,0.93599,0.004258,0.004258,0.004258
31,9617.78,0.52646,0.35469,0.95247,0.98904,0.96586,0.99161,0.89519,0.55004,0.24524,0.93563,0.00406,0.00406,0.00406
32,9920.93,0.51668,0.34853,0.94663,0.98887,0.96825,0.99141,0.89558,0.54948,0.24413,0.93524,0.003862,0.003862,0.003862
33,10226.4,0.51232,0.34629,0.94739,0.9904,0.96848,0.99186,0.89595,0.55005,0.2438,0.93523,0.003664,0.003664,0.003664
34,10532.5,0.51158,0.34262,0.94721,0.99036,0.97032,0.99184,0.89592,0.55091,0.24279,0.93559,0.003466,0.003466,0.003466
35,10832.5,0.50571,0.33922,0.94537,0.99165,0.96985,0.99165,0.89625,0.55203,0.24262,0.93592,0.003268,0.003268,0.003268
36,11136.8,0.49821,0.33693,0.94377,0.9914,0.97009,0.9914,0.89616,0.55311,0.24271,0.93628,0.00307,0.00307,0.00307
37,11440,0.49261,0.33218,0.93974,0.99107,0.97051,0.99142,0.89636,0.55396,0.24268,0.93681,0.002872,0.002872,0.002872
38,11743.8,0.48848,0.32983,0.93995,0.99096,0.97107,0.9913,0.89629,0.55423,0.24219,0.93718,0.002674,0.002674,0.002674
39,12048.4,0.48278,0.32543,0.93647,0.99062,0.97157,0.99134,0.89634,0.55367,0.2411,0.937,0.002476,0.002476,0.002476
40,12354.6,0.47744,0.32106,0.93548,0.99086,0.97113,0.99134,0.89659,0.55317,0.24005,0.9369,0.002278,0.002278,0.002278
41,12654.4,0.34133,0.20966,0.84803,0.99084,0.97087,0.99156,0.89687,0.55123,0.23942,0.93617,0.00208,0.00208,0.00208
42,12944.1,0.3311,0.20129,0.84396,0.9906,0.97002,0.99168,0.89721,0.55095,0.24044,0.93617,0.001882,0.001882,0.001882
43,13231,0.32086,0.19545,0.83925,0.99066,0.97032,0.99144,0.89763,0.55083,0.2405,0.9364,0.001684,0.001684,0.001684
44,13515.5,0.31245,0.19178,0.83652,0.99028,0.96998,0.99144,0.89785,0.55203,0.24071,0.93734,0.001486,0.001486,0.001486
45,13802.8,0.30759,0.18615,0.83501,0.98875,0.97087,0.99109,0.89776,0.55228,0.24073,0.93768,0.001288,0.001288,0.001288
46,14089.5,0.29668,0.1808,0.82894,0.98831,0.97032,0.99144,0.89769,0.55288,0.24121,0.93799,0.00109,0.00109,0.00109
47,14375.4,0.29009,0.17793,0.82738,0.98862,0.96899,0.99112,0.89743,0.55334,0.24137,0.93834,0.000892,0.000892,0.000892
48,14663.9,0.28303,0.16975,0.82475,0.98907,0.96814,0.99076,0.89732,0.55403,0.24231,0.9388,0.000694,0.000694,0.000694
49,14950.3,0.27747,0.16564,0.82391,0.98907,0.96798,0.99057,0.89763,0.55418,0.24257,0.93927,0.000496,0.000496,0.000496
50,15236.9,0.27072,0.16147,0.81973,0.98836,0.96679,0.99002,0.8975,0.55415,0.24372,0.93963,0.000298,0.000298,0.000298
