epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.491,0.82078,1.56437,1.16402,0.00117,0.27583,0.00094,0.00022,3.65391,4.34371,4.16269,0.00332667,0.00332667,0.00332667
2,465.901,0.73929,0.7435,1.10258,0.00115,0.04167,0.0007,0.00015,2.92295,4.27728,3.71759,0.00652813,0.00652813,0.00652813
3,691.678,0.79106,0.67966,1.13123,0.02055,0.1645,0.01948,0.00716,2.71557,4.59964,2.77001,0.0095976,0.0095976,0.0095976
4,911.395,0.77604,0.63625,1.11933,0.77848,0.61676,0.72453,0.45798,1.23232,1.32455,1.39667,0.009406,0.009406,0.009406
5,1128.02,0.71104,0.57488,1.08841,0.22046,0.15667,0.09894,0.02062,3.52917,2.92962,3.15168,0.009208,0.009208,0.009208
6,1345.72,0.66969,0.54011,1.06826,0.0598,0.17833,0.06958,0.02299,3.44914,4.88477,3.92379,0.00901,0.00901,0.00901
7,1563.3,0.63966,0.51348,1.05148,0.04574,0.133,0.03601,0.01628,3.17483,5.31399,3.13131,0.008812,0.008812,0.008812
8,1782.34,0.62023,0.50033,1.04382,0.82,0.76913,0.85175,0.5783,1.09032,0.95579,1.3012,0.008614,0.008614,0.008614
9,2000.18,0.60243,0.48285,1.03637,0.96777,0.9758,0.98945,0.88691,0.4614,0.30744,0.96604,0.008416,0.008416,0.008416
10,2221.91,0.58962,0.4742,1.02982,0.7933,0.71705,0.77385,0.32178,2.26954,1.20286,2.04652,0.008218,0.008218,0.008218
11,2444.18,0.58696,0.46945,1.03018,0.92107,0.82853,0.92492,0.75242,0.70716,0.72652,1.07499,0.00802,0.00802,0.00802
12,2657.86,0.56732,0.45611,1.01956,0.98974,0.9935,0.99432,0.95599,0.28194,0.19952,0.86975,0.007822,0.007822,0.007822
13,2873.19,0.56226,0.45015,1.01665,0.97663,0.97883,0.99045,0.89642,0.45182,0.27836,0.93879,0.007624,0.007624,0.007624
14,3088.49,0.55494,0.4406,1.0132,0.14582,0.24367,0.16124,0.07976,2.46352,4.80617,2.31793,0.007426,0.007426,0.007426
15,3312.21,0.54787,0.43756,1.00948,0.98052,0.98138,0.99228,0.91151,0.41013,0.24665,0.93638,0.007228,0.007228,0.007228
16,3529.82,0.5415,0.43703,1.00821,0.9915,0.99154,0.99458,0.96993,0.25242,0.17292,0.84684,0.00703,0.00703,0.00703
17,3748.32,0.53219,0.43206,1.00384,0.99053,0.99383,0.99465,0.97256,0.23696,0.16224,0.84057,0.006832,0.006832,0.006832
18,3976.18,0.52723,0.42826,1.00207,0.99251,0.99326,0.99476,0.97384,0.22293,0.15531,0.83496,0.006634,0.006634,0.006634
19,4202.09,0.51994,0.41297,0.99598,0.99203,0.99383,0.99475,0.97677,0.21573,0.1502,0.82927,0.006436,0.006436,0.006436
20,4418.6,0.51501,0.41463,0.9974,0.99239,0.9945,0.99472,0.97777,0.2129,0.14956,0.82757,0.006238,0.006238,0.006238
21,4638.65,0.5047,0.41234,0.99181,0.99322,0.99517,0.99479,0.98091,0.19794,0.14048,0.82246,0.00604,0.00604,0.00604
22,4862.82,0.50527,0.40529,0.99136,0.99219,0.99577,0.99477,0.97941,0.20201,0.13991,0.8243,0.005842,0.005842,0.005842
23,5073.7,0.49803,0.40201,0.98776,0.99334,0.99468,0.99479,0.98019,0.20039,0.139,0.82172,0.005644,0.005644,0.005644
24,5292.3,0.4979,0.39933,0.98576,0.9917,0.99564,0.99476,0.9805,0.1986,0.13837,0.82036,0.005446,0.005446,0.005446
25,5521.85,0.49496,0.39875,0.98666,0.99177,0.996,0.9947,0.98061,0.19561,0.13677,0.81846,0.005248,0.005248,0.005248
26,5738.32,0.48733,0.39473,0.98153,0.99272,0.99617,0.99475,0.98197,0.1906,0.13378,0.81683,0.00505,0.00505,0.00505
27,5955.12,0.48447,0.39028,0.98371,0.99236,0.99605,0.99478,0.98247,0.18878,0.13285,0.81643,0.004852,0.004852,0.004852
28,6173.48,0.48215,0.39228,0.98095,0.99269,0.99576,0.99481,0.98206,0.18798,0.1304,0.81644,0.004654,0.004654,0.004654
29,6393.96,0.47336,0.38506,0.97642,0.99302,0.99602,0.9948,0.9823,0.18617,0.12864,0.81625,0.004456,0.004456,0.004456
30,6613.47,0.47531,0.3816,0.98006,0.99269,0.99606,0.99479,0.98233,0.18501,0.12818,0.81603,0.004258,0.004258,0.004258
31,6830.57,0.47027,0.38083,0.97609,0.99302,0.99639,0.99478,0.98258,0.18222,0.12666,0.81441,0.00406,0.00406,0.00406
32,7048.1,0.46371,0.37629,0.97382,0.99302,0.99656,0.99478,0.98315,0.18079,0.12609,0.81309,0.003862,0.003862,0.003862
33,7260.67,0.4586,0.37429,0.97205,0.99278,0.99633,0.99479,0.98357,0.17916,0.12446,0.81229,0.003664,0.003664,0.003664
34,7473.42,0.45628,0.36638,0.97128,0.99335,0.99617,0.99481,0.98358,0.17848,0.12381,0.81178,0.003466,0.003466,0.003466
35,7684.09,0.45078,0.36383,0.96757,0.99352,0.9967,0.99482,0.9835,0.17794,0.12326,0.81175,0.003268,0.003268,0.003268
36,7898.24,0.44753,0.36285,0.96733,0.99352,0.99681,0.99482,0.98381,0.17785,0.12318,0.81154,0.00307,0.00307,0.00307
37,8117.24,0.44652,0.36103,0.96669,0.99319,0.99683,0.99483,0.9838,0.17637,0.12246,0.81085,0.002872,0.002872,0.002872
38,8334.09,0.44278,0.35742,0.96554,0.99337,0.9965,0.99483,0.98405,0.17536,0.12218,0.81019,0.002674,0.002674,0.002674
39,8548.11,0.43798,0.35441,0.96175,0.99368,0.99639,0.99483,0.98412,0.17411,0.12187,0.80961,0.002476,0.002476,0.002476
40,8763.23,0.43594,0.35311,0.96272,0.99345,0.99717,0.99482,0.98427,0.17301,0.12114,0.80922,0.002278,0.002278,0.002278
41,8968.57,0.24733,0.1804,0.83961,0.99352,0.99674,0.99482,0.9849,0.17012,0.11985,0.80783,0.00208,0.00208,0.00208
42,9165.16,0.2363,0.17425,0.83245,0.99369,0.9966,0.99482,0.98588,0.16707,0.11832,0.80655,0.001882,0.001882,0.001882
43,9371.69,0.22834,0.1644,0.82959,0.99418,0.9959,0.99482,0.98638,0.16457,0.11676,0.8053,0.001684,0.001684,0.001684
44,9572.74,0.22473,0.16525,0.82858,0.99401,0.99636,0.99482,0.98683,0.16223,0.11532,0.80427,0.001486,0.001486,0.001486
45,9774.62,0.21718,0.15952,0.82442,0.99421,0.996,0.99482,0.98741,0.15997,0.11402,0.80328,0.001288,0.001288,0.001288
46,9978.15,0.21294,0.15536,0.82203,0.995,0.99589,0.99483,0.98769,0.15769,0.113,0.80223,0.00109,0.00109,0.00109
47,10176.9,0.20931,0.15053,0.82282,0.99498,0.99633,0.99483,0.98795,0.15595,0.11215,0.80133,0.000892,0.000892,0.000892
48,10375.4,0.20388,0.1454,0.81944,0.99484,0.99643,0.99484,0.98851,0.1541,0.11149,0.80037,0.000694,0.000694,0.000694
49,10579.4,0.19978,0.14412,0.81647,0.99501,0.99639,0.99484,0.98878,0.15236,0.11037,0.79969,0.000496,0.000496,0.000496
50,10781.1,0.19558,0.13883,0.81726,0.99489,0.9965,0.99484,0.98896,0.15064,0.10934,0.79901,0.000298,0.000298,0.000298
