epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.083,0.93545,1.51237,1.19297,0.0008,0.11814,0.00061,0.00013,3.73481,3.9612,4.0572,0.00332825,0.00332825,0.00332825
2,618.838,0.84247,0.7512,1.12388,0.59585,0.34453,0.37219,0.22166,2.40374,2.34938,2.55803,0.00652969,0.00652969,0.00652969
3,913.249,0.89334,0.70265,1.15023,0.00614,0.00805,0.00311,0.00082,3.87981,5.16231,4.99352,0.00959912,0.00959912,0.00959912
4,1209.85,0.87231,0.65645,1.13606,0.72852,0.54484,0.60096,0.39608,1.48956,1.70687,1.64589,0.009406,0.009406,0.009406
5,1502.59,0.79716,0.58892,1.09748,0.92781,0.62384,0.70332,0.58519,1.11577,1.51672,1.36549,0.009208,0.009208,0.009208
6,1800.31,0.75912,0.55308,1.07832,0.91766,0.83826,0.9245,0.70157,0.98903,0.67366,1.30351,0.00901,0.00901,0.00901
7,2091,0.73221,0.52927,1.0651,0.6782,0.43805,0.49069,0.24165,2.24593,2.5746,2.12059,0.008812,0.008812,0.008812
8,2374.66,0.7015,0.50723,1.04815,0.94255,0.88082,0.94718,0.74798,0.82877,0.51131,1.12292,0.008614,0.008614,0.008614
9,2668.92,0.69001,0.49596,1.04379,0.96808,0.93581,0.98195,0.82274,0.63317,0.36548,1.02172,0.008416,0.008416,0.008416
10,2972.95,0.67126,0.48626,1.03541,0.98652,0.98505,0.99384,0.87998,0.50969,0.26661,0.93577,0.008218,0.008218,0.008218
11,3257.25,0.65888,0.47442,1.02905,0.98662,0.98861,0.994,0.89563,0.46545,0.24676,0.90843,0.00802,0.00802,0.00802
12,3543.89,0.65132,0.46851,1.02424,0.98744,0.9847,0.99411,0.90009,0.45179,0.2401,0.90514,0.007822,0.007822,0.007822
13,3830.27,0.63888,0.46198,1.01918,0.99016,0.99126,0.99413,0.90498,0.44733,0.23307,0.89956,0.007624,0.007624,0.007624
14,4113.99,0.63495,0.45636,1.01532,0.99013,0.99294,0.99428,0.91051,0.4326,0.22127,0.89044,0.007426,0.007426,0.007426
15,4402.81,0.62562,0.44947,1.01522,0.98738,0.9908,0.99416,0.91355,0.43536,0.2184,0.89019,0.007228,0.007228,0.007228
16,4692.72,0.61943,0.44073,1.01012,0.98911,0.99254,0.99418,0.90881,0.43105,0.21164,0.88991,0.00703,0.00703,0.00703
17,4981.22,0.61221,0.4365,1.00739,0.98692,0.98938,0.99429,0.91169,0.42606,0.20858,0.88735,0.006832,0.006832,0.006832
18,5263.05,0.60786,0.43403,1.00506,0.99158,0.98938,0.99436,0.91437,0.42315,0.20609,0.88633,0.006634,0.006634,0.006634
19,5547.22,0.6043,0.43033,1.00429,0.99136,0.99036,0.99436,0.91596,0.41867,0.20518,0.88228,0.006436,0.006436,0.006436
20,5834.92,0.5954,0.42399,1.00178,0.99042,0.99114,0.99436,0.9184,0.40954,0.19871,0.87667,0.006238,0.006238,0.006238
21,6112.92,0.58815,0.42164,0.99815,0.99163,0.9916,0.99443,0.91903,0.40626,0.19613,0.87594,0.00604,0.00604,0.00604
