epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0828,1.16542,1.49851,1.17583,0.30292,0.26186,0.23175,0.11415,2.35525,3.09554,2.41921,0.000662393,0.000662393,0.000662393
2,135.423,0.99089,0.79811,1.0729,0.2601,0.12858,0.10435,0.04136,3.39686,3.03473,2.75989,0.00130274,0.00130274,0.00130274
3,201.641,0.95603,0.67302,1.06348,0.04981,0.01268,0.00725,0.00439,2.86776,5.80905,2.53388,0.0019167,0.0019167,0.0019167
4,267.466,0.92238,0.61859,1.0501,0.05169,0.0239,0.01076,0.0043,3.83436,4.80476,3.64476,0.0018812,0.0018812,0.0018812
5,333.406,0.85125,0.54927,1.0201,0.90398,0.83197,0.89721,0.44244,1.72361,0.78531,1.39305,0.0018416,0.0018416,0.0018416
6,396.671,0.79954,0.50961,1.00074,0.85062,0.72595,0.79771,0.3848,1.85945,1.02512,1.60164,0.001802,0.001802,0.001802
7,460.843,0.76,0.47979,0.98478,0.22971,0.10033,0.08731,0.02247,2.79614,3.42329,2.13327,0.0017624,0.0017624,0.0017624
8,526.319,0.74772,0.46355,0.98326,0.78514,0.30062,0.36643,0.19538,2.15159,2.45008,1.84231,0.0017228,0.0017228,0.0017228
9,592.388,0.71603,0.4417,0.96783,0.89218,0.60237,0.70282,0.36964,1.87875,1.61188,1.59404,0.0016832,0.0016832,0.0016832
10,658.858,0.69363,0.42907,0.96076,0.66696,0.43085,0.51775,0.30307,1.99419,1.67475,1.73401,0.0016436,0.0016436,0.0016436
11,730.071,0.68287,0.42029,0.95812,0.14702,0.06049,0.0436,0.01451,3.09645,5.3453,2.64371,0.001604,0.001604,0.001604
12,801.487,0.66857,0.40633,0.95274,0.9517,0.89424,0.94456,0.58313,1.43199,0.61447,1.22844,0.0015644,0.0015644,0.0015644
13,874.677,0.65433,0.39408,0.94814,0.82999,0.8218,0.84495,0.47943,1.67128,0.75853,1.30447,0.0015248,0.0015248,0.0015248
14,940.096,0.64102,0.38559,0.94246,0.8706,0.64573,0.75679,0.45095,1.64573,1.4166,1.41337,0.0014852,0.0014852,0.0014852
15,1005.95,0.63212,0.38359,0.93851,0.87274,0.70083,0.78434,0.37298,1.96962,0.96213,1.55305,0.0014456,0.0014456,0.0014456
16,1073.64,0.6301,0.37927,0.93937,0.95254,0.84332,0.91243,0.53081,1.54923,0.67167,1.28944,0.001406,0.001406,0.001406
17,1139.11,0.61591,0.373,0.93609,0.78642,0.85619,0.83955,0.51977,1.47253,0.74944,1.25243,0.0013664,0.0013664,0.0013664
18,1206,0.60887,0.36235,0.9359,0.95701,0.88664,0.92778,0.59896,1.37259,0.55099,1.23513,0.0013268,0.0013268,0.0013268
19,1270.49,0.59451,0.3533,0.92711,0.93795,0.82615,0.91906,0.53317,1.57059,0.67984,1.28677,0.0012872,0.0012872,0.0012872
20,1334.61,0.59692,0.35317,0.93013,0.93248,0.83194,0.91379,0.51131,1.65279,0.68343,1.33389,0.0012476,0.0012476,0.0012476
