epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3504,1.14807,1.261,1.16022,0.3275,0.36871,0.30039,0.10051,2.22803,2.35885,2.13234,0.000665597,0.000665597,0.000665597
2,169.822,1.03289,0.75654,1.10147,0.90226,0.69649,0.81819,0.43053,1.66254,1.58618,1.38952,0.00130588,0.00130588,0.00130588
3,250.164,0.96286,0.66892,1.07291,0.77935,0.67765,0.74441,0.36011,1.93428,1.2839,1.85258,0.00191977,0.00191977,0.00191977
4,329.978,0.90286,0.60244,1.04484,0.9276,0.6729,0.81036,0.52272,1.39013,0.99881,1.30634,0.0018812,0.0018812,0.0018812
5,399.22,0.84022,0.54608,1.02048,0.81629,0.73868,0.82054,0.49938,1.55276,0.99486,1.3544,0.0018416,0.0018416,0.0018416
6,468.597,0.80412,0.51483,1.00448,0.93813,0.72493,0.78706,0.50942,1.47216,1.24106,1.40957,0.001802,0.001802,0.001802
7,536.536,0.7777,0.49083,0.99318,0.84522,0.59145,0.69473,0.48683,1.38814,1.57481,1.34315,0.0017624,0.0017624,0.0017624
8,605.986,0.75476,0.47084,0.98852,0.83097,0.75444,0.8108,0.57677,1.1996,1.05478,1.20796,0.0017228,0.0017228,0.0017228
9,674.356,0.72903,0.45371,0.97617,0.78822,0.84252,0.87584,0.59821,1.26686,0.79289,1.19045,0.0016832,0.0016832,0.0016832
10,743.721,0.71944,0.44489,0.97313,0.82442,0.80608,0.88256,0.58949,1.31785,0.76563,1.19216,0.0016436,0.0016436,0.0016436
11,813.24,0.6963,0.42793,0.96459,0.6323,0.68816,0.6844,0.44016,1.4581,1.40458,1.30908,0.001604,0.001604,0.001604
12,882.802,0.68279,0.41973,0.9599,0.54109,0.36979,0.39264,0.2585,2.15619,3.17684,2.2313,0.0015644,0.0015644,0.0015644
13,951.554,0.66913,0.4075,0.95883,0.82709,0.81528,0.85904,0.56684,1.32149,0.82725,1.22286,0.0015248,0.0015248,0.0015248
14,1020.95,0.65989,0.40065,0.95104,0.94089,0.84788,0.91412,0.64727,1.17831,0.67615,1.16728,0.0014852,0.0014852,0.0014852
15,1089.49,0.64175,0.39022,0.94336,0.99007,0.90293,0.94966,0.66883,1.1691,0.4999,1.15933,0.0014456,0.0014456,0.0014456
16,1157.76,0.64096,0.38667,0.94511,0.86729,0.86635,0.88779,0.63549,1.16672,0.69086,1.12027,0.001406,0.001406,0.001406
17,1227.44,0.62981,0.38063,0.94463,0.91052,0.81077,0.89884,0.61952,1.26888,0.75026,1.19959,0.0013664,0.0013664,0.0013664
18,1295.99,0.62631,0.37634,0.94085,0.84612,0.80514,0.84086,0.59431,1.23341,0.89882,1.17259,0.0013268,0.0013268,0.0013268
19,1364.45,0.62008,0.36986,0.93967,0.82579,0.82724,0.87112,0.62843,1.19075,0.78318,1.16878,0.0012872,0.0012872,0.0012872
20,1433.39,0.60694,0.36496,0.93642,0.97725,0.88084,0.93807,0.6895,1.09239,0.5302,1.14594,0.0012476,0.0012476,0.0012476
21,1503.21,0.59655,0.35898,0.92823,0.94915,0.75712,0.90128,0.67056,1.09314,0.67054,1.11184,0.001208,0.001208,0.001208
22,1577.85,0.58908,0.35311,0.92793,0.85739,0.86273,0.90371,0.61672,1.25802,0.68849,1.13889,0.0011684,0.0011684,0.0011684
23,1648.4,0.5864,0.34798,0.92694,0.88206,0.87577,0.92662,0.6485,1.2448,0.59268,1.16145,0.0011288,0.0011288,0.0011288
24,1717.26,0.57426,0.34171,0.9244,0.86445,0.90772,0.90451,0.63548,1.25567,0.5993,1.19227,0.0010892,0.0010892,0.0010892
25,1786.42,0.56915,0.33352,0.9225,0.97703,0.86092,0.92979,0.64189,1.27085,0.58546,1.17859,0.0010496,0.0010496,0.0010496
26,1855.8,0.56711,0.33478,0.92084,0.87386,0.88571,0.90784,0.66387,1.1078,0.62496,1.14514,0.00101,0.00101,0.00101
27,1924.83,0.55424,0.32745,0.91536,0.88223,0.88555,0.91058,0.65515,1.16339,0.59113,1.1554,0.0009704,0.0009704,0.0009704
28,1993.24,0.55618,0.3277,0.91804,0.95051,0.81347,0.90797,0.67208,1.11077,0.6188,1.11207,0.0009308,0.0009308,0.0009308
29,2062.25,0.54773,0.32383,0.915,0.89372,0.89714,0.91672,0.649,1.1794,0.5885,1.1553,0.0008912,0.0008912,0.0008912
30,2131.09,0.54035,0.3198,0.91299,0.87405,0.88721,0.90646,0.65221,1.17166,0.66932,1.14072,0.0008516,0.0008516,0.0008516
31,2200.99,0.53403,0.31272,0.91117,0.90231,0.89658,0.93117,0.67985,1.13236,0.56152,1.1469,0.000812,0.000812,0.000812
32,2270.51,0.52973,0.30959,0.90994,0.88537,0.88917,0.91404,0.68744,1.07825,0.60175,1.11792,0.0007724,0.0007724,0.0007724
33,2339.26,0.52483,0.3037,0.9073,0.90084,0.8687,0.91962,0.69957,1.0328,0.56193,1.09795,0.0007328,0.0007328,0.0007328
34,2407.14,0.51856,0.30315,0.90476,0.87431,0.89352,0.92662,0.70393,1.05564,0.55014,1.10806,0.0006932,0.0006932,0.0006932
35,2476.3,0.51567,0.2974,0.90415,0.86703,0.8856,0.918,0.67956,1.12647,0.58751,1.13355,0.0006536,0.0006536,0.0006536
36,2546.47,0.50374,0.2937,0.90095,0.92776,0.86054,0.92736,0.68455,1.12065,0.55001,1.13695,0.000614,0.000614,0.000614
37,2615.26,0.5013,0.29165,0.89955,0.94643,0.82905,0.91869,0.68997,1.11682,0.59072,1.15393,0.0005744,0.0005744,0.0005744
38,2683.63,0.49719,0.28514,0.89619,0.88284,0.88976,0.91639,0.6824,1.11155,0.56817,1.15085,0.0005348,0.0005348,0.0005348
39,2754.51,0.49312,0.28212,0.89791,0.95772,0.84607,0.92699,0.67912,1.13015,0.6288,1.12032,0.0004952,0.0004952,0.0004952
40,2824.97,0.48688,0.28183,0.89681,0.87092,0.88463,0.88908,0.66346,1.13208,0.65163,1.14356,0.0004556,0.0004556,0.0004556
41,2900.09,0.41495,0.22548,0.83513,0.90122,0.86902,0.91163,0.67831,1.07216,0.57353,1.13929,0.000416,0.000416,0.000416
42,2965.77,0.38828,0.20805,0.82423,0.88084,0.85295,0.89465,0.65474,1.13688,0.63657,1.18619,0.0003764,0.0003764,0.0003764
43,3032.09,0.3805,0.20572,0.8244,0.8761,0.88096,0.90752,0.67688,1.10149,0.61876,1.17444,0.0003368,0.0003368,0.0003368
44,3098.3,0.37245,0.20091,0.81949,0.87472,0.88193,0.90958,0.68813,1.07671,0.62951,1.14106,0.0002972,0.0002972,0.0002972
45,3164.57,0.36632,0.1967,0.82088,0.87992,0.8946,0.92156,0.69546,1.0885,0.57099,1.15371,0.0002576,0.0002576,0.0002576
46,3230.93,0.35946,0.192,0.81706,0.87383,0.90056,0.91961,0.69338,1.08797,0.57509,1.15369,0.000218,0.000218,0.000218
47,3297.67,0.35117,0.18727,0.81514,0.88233,0.90004,0.9284,0.70597,1.06201,0.53461,1.14454,0.0001784,0.0001784,0.0001784
48,3363.19,0.348,0.18557,0.81492,0.87794,0.88317,0.91558,0.688,1.09912,0.59831,1.14525,0.0001388,0.0001388,0.0001388
49,3428.93,0.34164,0.18158,0.8146,0.87311,0.89098,0.91139,0.6885,1.08956,0.61277,1.13786,9.92e-05,9.92e-05,9.92e-05
50,3495.32,0.33953,0.18051,0.81109,0.86945,0.8901,0.90306,0.68515,1.08205,0.62764,1.13908,5.96e-05,5.96e-05,5.96e-05
