epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6407,1.1673,1.66507,1.19903,0.40168,0.29699,0.26735,0.12029,2.17003,2.78303,1.97664,0.000662393,0.000662393,0.000662393
2,148.17,0.99928,0.84371,1.08358,0.34818,0.27925,0.231,0.13033,2.00108,4.30523,2.16438,0.00130274,0.00130274,0.00130274
3,217.265,0.98686,0.70636,1.07978,0.01617,0.02318,0.00118,0.00017,3.53746,5.39184,3.94572,0.0019167,0.0019167,0.0019167
4,285.943,0.9416,0.63874,1.06337,0.44794,0.29156,0.3009,0.16487,2.19479,4.10181,2.43464,0.0018812,0.0018812,0.0018812
5,352.981,0.87015,0.57389,1.03183,0.32601,0.04491,0.04286,0.01403,3.54366,5.27526,3.47752,0.0018416,0.0018416,0.0018416
6,420.938,0.81621,0.52358,1.00964,0.543,0.3314,0.35229,0.1349,2.55947,2.46566,2.12524,0.001802,0.001802,0.001802
7,504.835,0.77742,0.48957,0.99561,0.86124,0.68417,0.78584,0.52173,1.3349,0.99368,1.28742,0.0017624,0.0017624,0.0017624
8,592.518,0.76363,0.47045,0.99177,0.47323,0.14234,0.15415,0.09968,2.49723,5.50681,2.48269,0.0017228,0.0017228,0.0017228
9,680.379,0.73628,0.45955,0.97738,0.79413,0.56723,0.61572,0.23347,2.42812,1.82944,1.92927,0.0016832,0.0016832,0.0016832
10,758.322,0.71112,0.44373,0.96841,0.24806,0.36291,0.20298,0.07555,2.8283,2.95105,2.80977,0.0016436,0.0016436,0.0016436
11,844.015,0.70057,0.42802,0.96479,0.06618,0.15972,0.02684,0.01197,2.62923,6.62727,2.55366,0.001604,0.001604,0.001604
12,931.451,0.68943,0.42107,0.9609,0.04334,0.03586,0.00537,0.00196,3.21046,6.78778,3.16256,0.0015644,0.0015644,0.0015644
13,1017.63,0.67781,0.41144,0.95557,0.57456,0.66968,0.59047,0.4051,1.36246,1.7794,1.34644,0.0015248,0.0015248,0.0015248
14,1084.21,0.66199,0.3976,0.95108,0.35003,0.15864,0.16567,0.09022,2.79025,5.96999,2.97487,0.0014852,0.0014852,0.0014852
15,1149.5,0.65417,0.39616,0.94539,0.83588,0.7065,0.81516,0.53161,1.38245,0.85115,1.35967,0.0014456,0.0014456,0.0014456
16,1214.39,0.64288,0.38868,0.94247,0.75171,0.57899,0.63446,0.44544,1.51447,2.00763,1.50089,0.001406,0.001406,0.001406
17,1278.34,0.63325,0.3805,0.94,0.84018,0.90004,0.90381,0.65091,1.06296,0.55388,1.10205,0.0013664,0.0013664,0.0013664
18,1342.9,0.62503,0.37469,0.94095,0.71022,0.57877,0.56961,0.31188,1.91608,1.99269,1.68462,0.0013268,0.0013268,0.0013268
19,1407.13,0.61467,0.3664,0.93461,0.87032,0.91887,0.92147,0.52104,1.52196,0.67519,1.30512,0.0012872,0.0012872,0.0012872
20,1481.15,0.61693,0.3668,0.93546,0.84448,0.8221,0.81401,0.46224,1.59757,0.80786,1.27574,0.0012476,0.0012476,0.0012476
21,1564.52,0.60175,0.35595,0.931,0.86497,0.82598,0.85861,0.53786,1.41262,0.74152,1.20567,0.001208,0.001208,0.001208
22,1639.33,0.59872,0.34939,0.92997,0.28658,0.18906,0.16877,0.11127,2.32241,4.43452,2.14043,0.0011684,0.0011684,0.0011684
23,1706.68,0.59172,0.34789,0.927,0.84395,0.88845,0.90256,0.5729,1.36431,0.60643,1.22711,0.0011288,0.0011288,0.0011288
24,1772.67,0.58,0.34449,0.92321,0.78868,0.83672,0.84753,0.42381,1.91627,0.92132,1.50824,0.0010892,0.0010892,0.0010892
25,1838.72,0.57074,0.33588,0.91913,0.93131,0.77979,0.90806,0.66795,1.07073,0.62172,1.11236,0.0010496,0.0010496,0.0010496
26,1905.84,0.57114,0.33585,0.91999,0.77633,0.74176,0.76559,0.42376,1.7719,1.20819,1.40892,0.00101,0.00101,0.00101
27,1973.43,0.56104,0.33081,0.91477,0.78072,0.80594,0.81368,0.60279,1.14128,0.81218,1.16557,0.0009704,0.0009704,0.0009704
28,2040.46,0.55845,0.32664,0.9161,0.71124,0.57008,0.6239,0.44677,1.46101,1.73976,1.44868,0.0009308,0.0009308,0.0009308
29,2107.26,0.55245,0.32251,0.91414,0.84116,0.8727,0.87888,0.61451,1.17497,0.62569,1.15313,0.0008912,0.0008912,0.0008912
30,2173.42,0.54391,0.31684,0.91096,0.85007,0.81733,0.81051,0.53341,1.41886,0.90389,1.27515,0.0008516,0.0008516,0.0008516
31,2242.29,0.53915,0.3137,0.90991,0.78559,0.85194,0.8357,0.59011,1.24389,0.77797,1.17829,0.000812,0.000812,0.000812
32,2309.11,0.53316,0.31095,0.9079,0.77613,0.83484,0.81421,0.48206,1.6297,0.84424,1.3618,0.0007724,0.0007724,0.0007724
33,2377.13,0.53126,0.30995,0.90832,0.77697,0.87566,0.88236,0.63355,1.1303,0.59152,1.15093,0.0007328,0.0007328,0.0007328
34,2454.64,0.52256,0.30787,0.90713,0.83411,0.90583,0.88785,0.65327,1.10071,0.56669,1.1305,0.0006932,0.0006932,0.0006932
35,2520.48,0.5141,0.29654,0.9008,0.83117,0.92006,0.87774,0.61434,1.18471,0.59223,1.13452,0.0006536,0.0006536,0.0006536
36,2588.14,0.51201,0.29621,0.90094,0.81826,0.85939,0.87258,0.62002,1.17428,0.62724,1.14473,0.000614,0.000614,0.000614
37,2660.86,0.50956,0.29429,0.9014,0.80585,0.88394,0.85839,0.57141,1.33305,0.67559,1.18704,0.0005744,0.0005744,0.0005744
38,2726.88,0.49887,0.28664,0.89661,0.80001,0.87903,0.86978,0.65371,1.04147,0.58184,1.12181,0.0005348,0.0005348,0.0005348
39,2801.9,0.49928,0.2869,0.89763,0.80919,0.89239,0.86349,0.64885,1.02632,0.60481,1.08663,0.0004952,0.0004952,0.0004952
40,2877.69,0.48718,0.28099,0.89701,0.85166,0.8573,0.85415,0.62712,1.05925,0.67698,1.12673,0.0004556,0.0004556,0.0004556
41,2943.62,0.40788,0.21952,0.83137,0.87539,0.86454,0.88844,0.65922,1.01508,0.60567,1.12534,0.000416,0.000416,0.000416
42,3009.19,0.39269,0.21341,0.82533,0.87791,0.89424,0.88775,0.65011,1.04727,0.60374,1.12055,0.0003764,0.0003764,0.0003764
43,3080.1,0.38647,0.20897,0.82426,0.87111,0.88048,0.86197,0.64387,1.01526,0.6204,1.12168,0.0003368,0.0003368,0.0003368
44,3146.42,0.3772,0.20331,0.82288,0.85285,0.89843,0.8983,0.68029,0.98446,0.56215,1.09521,0.0002972,0.0002972,0.0002972
45,3215.11,0.37066,0.19743,0.82019,0.87833,0.88895,0.87711,0.66601,0.99786,0.61619,1.11542,0.0002576,0.0002576,0.0002576
46,3277.84,0.36279,0.19216,0.81811,0.86269,0.89885,0.88951,0.67312,0.99669,0.57487,1.13571,0.000218,0.000218,0.000218
47,3337.83,0.35557,0.19021,0.81821,0.87142,0.86346,0.87663,0.65759,1.0286,0.60886,1.13538,0.0001784,0.0001784,0.0001784
48,3407.44,0.35055,0.18592,0.81494,0.86831,0.86961,0.86989,0.65563,1.00589,0.61862,1.11021,0.0001388,0.0001388,0.0001388
49,3478.21,0.34907,0.18428,0.8163,0.87382,0.86454,0.86558,0.64696,1.02427,0.62367,1.12567,9.92e-05,9.92e-05,9.92e-05
50,3541.13,0.34395,0.18351,0.81336,0.87503,0.86563,0.85704,0.63938,1.03657,0.64213,1.13057,5.96e-05,5.96e-05,5.96e-05
