epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1506,0.63361,1.14039,0.97246,0.96389,0.89906,0.94213,0.76506,0.66664,0.80748,0.96631,0.000662393,0.000662393,0.000662393
2,150.134,0.66018,0.63858,0.96682,0.89119,0.78315,0.87937,0.66111,0.87507,0.99448,1.06969,0.00130274,0.00130274,0.00130274
3,226.137,0.68633,0.54791,0.97755,0.72704,0.53831,0.63845,0.40937,1.23816,1.53101,1.30046,0.0019167,0.0019167,0.0019167
4,297.622,0.66053,0.4963,0.96623,0.90015,0.84568,0.90761,0.66512,0.83796,2.12035,1.07836,0.0018812,0.0018812,0.0018812
5,373.372,0.61453,0.45219,0.95178,0.87008,0.57731,0.69398,0.46665,1.29285,1.24838,1.32728,0.0018416,0.0018416,0.0018416
6,447.74,0.56951,0.41982,0.93733,0.6549,0.48062,0.62753,0.42978,1.18491,1.33742,1.31301,0.001802,0.001802,0.001802
7,521.298,0.54273,0.38965,0.92732,0.94955,0.90982,0.92433,0.78124,0.59571,0.47109,0.94097,0.0017624,0.0017624,0.0017624
8,596.314,0.51603,0.37045,0.92055,0.92423,0.87251,0.9362,0.7775,0.66284,0.51513,1.03096,0.0017228,0.0017228,0.0017228
9,673.216,0.49841,0.36123,0.91237,0.9255,0.8774,0.92496,0.74159,0.65888,0.53961,0.96865,0.0016832,0.0016832,0.0016832
10,745.375,0.48722,0.34795,0.91122,0.91221,0.91887,0.94477,0.81428,0.54892,0.57055,0.9436,0.0016436,0.0016436,0.0016436
11,821.162,0.47816,0.33997,0.9088,0.95073,0.88753,0.93898,0.78408,0.62296,0.45658,0.97807,0.001604,0.001604,0.001604
12,897.217,0.46649,0.32805,0.90516,0.98233,0.9264,0.94477,0.82527,0.51393,0.36399,0.92442,0.0015644,0.0015644,0.0015644
13,972.031,0.45095,0.3157,0.89983,0.97379,0.92863,0.95118,0.80129,0.56534,0.49208,0.93341,0.0015248,0.0015248,0.0015248
14,1047.12,0.43747,0.31282,0.89528,0.94858,0.89605,0.93741,0.7682,0.6179,0.4972,0.99096,0.0014852,0.0014852,0.0014852
