epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6136,0.6669,1.04134,0.98507,0.68034,0.7061,0.79556,0.56433,1.02241,1.19332,1.09258,0.00066453,0.00066453,0.00066453
2,169.508,0.6889,0.59041,0.98189,0.79973,0.84753,0.86656,0.6654,0.80475,1.69996,1.06123,0.00130484,0.00130484,0.00130484
3,249.641,0.66001,0.50894,0.97122,0.90972,0.8686,0.9027,0.67332,0.91279,0.61357,1.07076,0.00191875,0.00191875,0.00191875
4,328.886,0.658,0.49432,0.9711,0.95071,0.85924,0.92618,0.70112,0.84424,0.59803,1.08759,0.0018812,0.0018812,0.0018812
5,408.389,0.60143,0.44371,0.94879,0.92742,0.6849,0.83161,0.65139,0.82717,0.97368,1.05536,0.0018416,0.0018416,0.0018416
6,486.833,0.56066,0.40728,0.93625,0.96596,0.83242,0.90555,0.74331,0.69268,0.58033,0.99558,0.001802,0.001802,0.001802
7,561.501,0.53968,0.386,0.92983,0.92956,0.88519,0.92449,0.72299,0.78641,0.5861,1.03377,0.0017624,0.0017624,0.0017624
8,639.254,0.5147,0.37156,0.92184,0.95794,0.90366,0.94181,0.78981,0.61566,0.44743,0.95444,0.0017228,0.0017228,0.0017228
9,717.685,0.50345,0.36278,0.91686,0.97283,0.94205,0.96081,0.84933,0.48577,0.33961,0.88993,0.0016832,0.0016832,0.0016832
10,794.669,0.482,0.34374,0.91127,0.97802,0.88623,0.94034,0.81404,0.5631,0.4336,0.92383,0.0016436,0.0016436,0.0016436
11,873.566,0.47798,0.33794,0.90758,0.97536,0.91754,0.95911,0.85686,0.47995,0.37351,0.89347,0.001604,0.001604,0.001604
12,953.46,0.46464,0.33083,0.90643,0.97798,0.93305,0.9522,0.8454,0.49824,0.41457,0.89711,0.0015644,0.0015644,0.0015644
13,1029.61,0.45694,0.32543,0.90313,0.97589,0.93833,0.9463,0.82644,0.53621,0.36978,0.91959,0.0015248,0.0015248,0.0015248
14,1101.79,0.44682,0.31103,0.89846,0.95521,0.92322,0.94792,0.80063,0.56265,0.43217,0.96671,0.0014852,0.0014852,0.0014852
15,1174.93,0.44223,0.31409,0.89813,0.97768,0.94096,0.95407,0.84059,0.49136,0.38991,0.90532,0.0014456,0.0014456,0.0014456
16,1247.6,0.44256,0.30937,0.89979,0.96685,0.91911,0.95884,0.8432,0.51608,0.42234,0.9325,0.001406,0.001406,0.001406
17,1319.02,0.4324,0.30161,0.89765,0.84194,0.92974,0.93247,0.81719,0.5315,0.41788,0.92688,0.0013664,0.0013664,0.0013664
18,1390.13,0.41171,0.29138,0.8898,0.98339,0.92214,0.95316,0.85035,0.47228,0.35047,0.90245,0.0013268,0.0013268,0.0013268
19,1467.42,0.41767,0.29301,0.89463,0.97514,0.91235,0.94305,0.83804,0.49539,0.38206,0.92263,0.0012872,0.0012872,0.0012872
20,1540.45,0.4101,0.28661,0.88869,0.9737,0.91271,0.94764,0.83827,0.49227,0.35643,0.95076,0.0012476,0.0012476,0.0012476
21,1618,0.39962,0.27823,0.8867,0.94051,0.86599,0.93631,0.81608,0.53765,0.39179,0.9354,0.001208,0.001208,0.001208
22,1690.57,0.4031,0.27731,0.889,0.98455,0.94205,0.95908,0.86572,0.44338,0.2981,0.8926,0.0011684,0.0011684,0.0011684
23,1762.82,0.38602,0.27214,0.8828,0.97835,0.94748,0.95798,0.85972,0.45994,0.30076,0.90151,0.0011288,0.0011288,0.0011288
24,1834.98,0.38933,0.26893,0.88531,0.98288,0.93552,0.95816,0.86674,0.44687,0.29398,0.90045,0.0010892,0.0010892,0.0010892
25,1906.95,0.3795,0.2657,0.87996,0.97018,0.91199,0.95553,0.85648,0.46427,0.32255,0.88655,0.0010496,0.0010496,0.0010496
26,1978.46,0.37942,0.2619,0.88205,0.97807,0.92081,0.95521,0.84325,0.4798,0.34413,0.9115,0.00101,0.00101,0.00101
27,2050.52,0.36828,0.25958,0.87639,0.9716,0.93118,0.96133,0.87019,0.44659,0.31339,0.89606,0.0009704,0.0009704,0.0009704
28,2121.26,0.36976,0.25384,0.87819,0.96102,0.92104,0.95033,0.86179,0.42371,0.43039,0.89328,0.0009308,0.0009308,0.0009308
29,2190.88,0.36699,0.25449,0.87776,0.97962,0.94005,0.95585,0.86876,0.4441,0.29228,0.89293,0.0008912,0.0008912,0.0008912
30,2260.62,0.35644,0.24605,0.87376,0.98981,0.94986,0.9656,0.88967,0.3952,0.25993,0.86933,0.0008516,0.0008516,0.0008516
31,2331.83,0.35167,0.23936,0.87385,0.98381,0.92459,0.96417,0.88188,0.40512,0.30433,0.88134,0.000812,0.000812,0.000812
32,2401.32,0.34604,0.23918,0.87281,0.89699,0.91271,0.94269,0.8527,0.42804,0.40297,0.91413,0.0007724,0.0007724,0.0007724
