epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.883,0.68488,1.08722,0.99585,0.892,0.79867,0.88693,0.65744,0.91249,1.16769,1.1562,0.000665597,0.000665597,0.000665597
2,199.018,0.7333,0.62971,1.00119,0.94216,0.92756,0.94635,0.72552,0.83271,0.63527,1.01791,0.00130588,0.00130588,0.00130588
3,288.746,0.70819,0.55147,0.99038,0.97489,0.92825,0.95078,0.7489,0.77239,0.63337,1.0739,0.00191977,0.00191977,0.00191977
4,371.423,0.68359,0.51846,0.9789,0.91511,0.88084,0.9218,0.70459,0.85775,0.67257,1.15131,0.0018812,0.0018812,0.0018812
5,456.962,0.62286,0.46102,0.95763,0.96437,0.89203,0.9323,0.76386,0.71357,0.55844,1.01609,0.0018416,0.0018416,0.0018416
6,543.141,0.58357,0.42296,0.94741,0.89006,0.90148,0.93515,0.75906,0.73661,0.66459,1.0289,0.001802,0.001802,0.001802
7,632.254,0.55768,0.40495,0.93435,0.89946,0.80116,0.91064,0.75199,0.64418,0.72222,1.03224,0.0017624,0.0017624,0.0017624
8,722.01,0.53976,0.39251,0.93417,0.94976,0.92433,0.94886,0.82491,0.54668,0.47982,0.92127,0.0017228,0.0017228,0.0017228
9,807.31,0.51604,0.37028,0.92367,0.96325,0.91851,0.94744,0.80315,0.59913,0.47146,1.00532,0.0016832,0.0016832,0.0016832
10,893.116,0.50801,0.3654,0.92124,0.93679,0.91256,0.94805,0.78666,0.63087,0.48971,0.99765,0.0016436,0.0016436,0.0016436
11,981.713,0.49694,0.35781,0.91889,0.89462,0.92549,0.93465,0.77083,0.68605,0.50943,1.00187,0.001604,0.001604,0.001604
12,1068.23,0.48361,0.34258,0.91356,0.95641,0.92611,0.95461,0.81015,0.61567,0.4373,0.99189,0.0015644,0.0015644,0.0015644
13,1150.37,0.48286,0.34601,0.91406,0.92153,0.84716,0.9167,0.76184,0.69908,0.77669,1.03587,0.0015248,0.0015248,0.0015248
14,1232.54,0.46464,0.32804,0.90491,0.98846,0.93098,0.95998,0.8501,0.53537,0.47604,0.93788,0.0014852,0.0014852,0.0014852
15,1313.98,0.45142,0.3214,0.90121,0.93473,0.89098,0.94499,0.8462,0.51151,0.45202,0.91446,0.0014456,0.0014456,0.0014456
16,1409.8,0.44717,0.31451,0.90149,0.94314,0.89517,0.932,0.82239,0.53668,0.46782,0.94307,0.001406,0.001406,0.001406
17,1503.06,0.44341,0.31617,0.90074,0.96974,0.92756,0.95398,0.83962,0.54957,0.41226,0.94379,0.0013664,0.0013664,0.0013664
18,1595.62,0.44423,0.31353,0.90104,0.9386,0.92457,0.95137,0.85388,0.50763,0.37854,0.94298,0.0013268,0.0013268,0.0013268
19,1690.21,0.4279,0.30267,0.8963,0.97817,0.91633,0.95128,0.84972,0.50832,0.36816,0.9127,0.0012872,0.0012872,0.0012872
20,1774.97,0.42325,0.29864,0.89261,0.9592,0.92792,0.94692,0.83084,0.54951,0.3895,0.96887,0.0012476,0.0012476,0.0012476
21,1855.46,0.41745,0.29443,0.88955,0.96304,0.9153,0.9491,0.8394,0.51722,0.47138,0.98359,0.001208,0.001208,0.001208
22,1936.52,0.41307,0.28648,0.89168,0.96061,0.90082,0.94886,0.85379,0.47073,0.38725,0.92438,0.0011684,0.0011684,0.0011684
23,2023.4,0.40887,0.28615,0.88961,0.96324,0.92104,0.954,0.84648,0.50405,0.37827,0.94408,0.0011288,0.0011288,0.0011288
24,2110.72,0.4007,0.28106,0.8878,0.95837,0.89098,0.94659,0.83978,0.49432,0.41441,0.92109,0.0010892,0.0010892,0.0010892
25,2192.08,0.39802,0.27628,0.88747,0.96851,0.93408,0.95394,0.85821,0.48132,0.34726,0.93034,0.0010496,0.0010496,0.0010496
26,2297.2,0.39371,0.27372,0.88457,0.98054,0.91254,0.94744,0.84308,0.50447,0.4214,0.94172,0.00101,0.00101,0.00101
27,2391.9,0.38456,0.26714,0.88083,0.94244,0.88354,0.92681,0.80082,0.6072,0.43046,1.00834,0.0009704,0.0009704,0.0009704
28,2483.5,0.38298,0.26645,0.88171,0.97602,0.92889,0.95165,0.84719,0.49659,0.37502,0.93748,0.0009308,0.0009308,0.0009308
29,2571.87,0.37954,0.26169,0.88143,0.96921,0.94024,0.9592,0.8673,0.46012,0.30679,0.89543,0.0008912,0.0008912,0.0008912
30,2655.36,0.37476,0.26076,0.88006,0.97467,0.92937,0.9516,0.87622,0.42134,0.32097,0.87489,0.0008516,0.0008516,0.0008516
31,2738.59,0.36608,0.25355,0.87851,0.94191,0.91036,0.95403,0.85611,0.46118,0.35223,0.88823,0.000812,0.000812,0.000812
32,2823.43,0.36183,0.24863,0.87699,0.98915,0.94495,0.9617,0.87453,0.44153,0.29227,0.88905,0.0007724,0.0007724,0.0007724
33,2911.06,0.3618,0.24745,0.87627,0.97887,0.92264,0.95449,0.87267,0.43973,0.32613,0.90049,0.0007328,0.0007328,0.0007328
34,2995.7,0.35613,0.24433,0.87413,0.9807,0.93951,0.95472,0.87072,0.43524,0.31218,0.88666,0.0006932,0.0006932,0.0006932
35,3080.42,0.34956,0.23996,0.87151,0.98157,0.92616,0.94871,0.85373,0.46866,0.35834,0.90864,0.0006536,0.0006536,0.0006536
