epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.945,1.27006,1.55052,1.26961,0.00039,0.11844,0.0004,8e-05,5.08923,3.71912,4.64461,0.000662393,0.000662393,0.000662393
2,138.869,1.17486,0.90094,1.18863,0.17447,0.09562,0.06877,0.02163,3.05596,3.31661,2.76195,0.00130274,0.00130274,0.00130274
3,208.552,1.17462,0.79852,1.19055,0.01206,0.08149,0.01358,0.00612,2.8432,4.68618,2.89752,0.0019167,0.0019167,0.0019167
4,277.113,1.13277,0.73465,1.1635,0.00116,0.03477,0.00061,0.00015,5.10174,7.13839,5.36725,0.0018812,0.0018812,0.0018812
5,345.383,1.08847,0.67573,1.13804,0.84511,0.84183,0.88661,0.52733,1.4093,0.81734,1.282,0.0018416,0.0018416,0.0018416
6,415.16,1.0279,0.63417,1.1146,0.47686,0.35422,0.37232,0.12367,2.85075,1.83843,2.35156,0.001802,0.001802,0.001802
7,482.648,0.9858,0.60348,1.09475,0.60108,0.33563,0.38616,0.19525,2.35955,2.06513,2.34629,0.0017624,0.0017624,0.0017624
8,550.213,0.9565,0.57291,1.08455,8e-05,0.01159,4e-05,1e-05,5.29637,4.83526,6.77768,0.0017228,0.0017228,0.0017228
9,617.344,0.9383,0.56239,1.07235,0.00204,0.03006,0.00115,0.00023,4.73993,5.28027,5.10809,0.0016832,0.0016832,0.0016832
10,686.579,0.91763,0.54736,1.06474,0.94358,0.90866,0.94173,0.61644,1.19645,0.58121,1.14965,0.0016436,0.0016436,0.0016436
11,754.957,0.88998,0.52678,1.05046,0.01617,0.1427,0.0217,0.00559,2.93595,4.89468,2.67403,0.001604,0.001604,0.001604
12,824.226,0.87973,0.51304,1.04251,0,0,0,0,5.0028,5.55264,6.15243,0.0015644,0.0015644,0.0015644
13,892.312,0.86794,0.50302,1.03617,0.00023,0.01159,0.00012,4e-05,4.65659,5.88363,5.35834,0.0015248,0.0015248,0.0015248
14,960.888,0.85134,0.48926,1.03452,0.70643,0.63347,0.69165,0.40343,1.51262,1.13232,1.43877,0.0014852,0.0014852,0.0014852
15,1029.7,0.84167,0.48802,1.02581,0.00316,0.02644,0.00099,0.00022,4.59435,6.74783,6.05338,0.0014456,0.0014456,0.0014456
16,1099.77,0.84156,0.48208,1.02589,0.38588,0.34082,0.31896,0.17245,2.19645,2.31049,1.87402,0.001406,0.001406,0.001406
17,1168,0.82428,0.47488,1.02223,0.91381,0.89476,0.94468,0.63395,1.15546,0.56863,1.14009,0.0013664,0.0013664,0.0013664
18,1237.4,0.8087,0.46677,1.01511,0.84766,0.71568,0.81512,0.49876,1.43463,1.02229,1.31273,0.0013268,0.0013268,0.0013268
19,1303.67,0.79349,0.45265,1.00694,0.89537,0.88024,0.9263,0.53934,1.39791,0.67061,1.30861,0.0012872,0.0012872,0.0012872
20,1371.6,0.79694,0.45774,1.01055,0.00066,0.00109,0.00067,7e-05,5.1367,5.0786,5.8002,0.0012476,0.0012476,0.0012476
21,1440.16,0.78201,0.44587,1.00324,0.96123,0.90619,0.95105,0.63091,1.16753,0.51489,1.11001,0.001208,0.001208,0.001208
22,1510.06,0.7804,0.4416,1.0033,0.87989,0.84112,0.90576,0.57164,1.31346,0.66121,1.22896,0.0011684,0.0011684,0.0011684
23,1579.64,0.7658,0.43699,0.99338,0.97038,0.92937,0.95658,0.66479,1.09334,0.45817,1.08944,0.0011288,0.0011288,0.0011288
24,1647.73,0.75785,0.4306,0.99492,0.73809,0.8247,0.82407,0.5387,1.25216,0.89219,1.21781,0.0010892,0.0010892,0.0010892
25,1717.96,0.74782,0.42171,0.99035,0.95478,0.92534,0.95932,0.66614,1.10671,0.49167,1.07763,0.0010496,0.0010496,0.0010496
26,1788.29,0.74428,0.42003,0.98847,0.95926,0.92974,0.95687,0.67277,1.07324,0.45071,1.06685,0.00101,0.00101,0.00101
27,1857.27,0.73965,0.41531,0.98513,0.97676,0.94531,0.96445,0.68231,1.05337,0.43652,1.04737,0.0009704,0.0009704,0.0009704
28,1926.53,0.7308,0.40945,0.98344,0.96574,0.933,0.96035,0.66672,1.08752,0.50668,1.06786,0.0009308,0.0009308,0.0009308
29,1996.93,0.72726,0.40681,0.98229,0.97385,0.94435,0.96475,0.68263,1.06913,0.43347,1.05627,0.0008912,0.0008912,0.0008912
30,2065.92,0.71682,0.40147,0.97721,0.96701,0.93444,0.96021,0.67345,1.07412,0.43715,1.06354,0.0008516,0.0008516,0.0008516
31,2135.99,0.71076,0.39651,0.97558,0.89675,0.7896,0.87979,0.53339,1.33282,0.75816,1.22984,0.000812,0.000812,0.000812
32,2205.66,0.70623,0.39355,0.97309,0.95699,0.93491,0.9624,0.67463,1.06976,0.45982,1.06587,0.0007724,0.0007724,0.0007724
33,2275.94,0.70744,0.39488,0.97594,0.95692,0.91815,0.95135,0.64385,1.16679,0.49726,1.10563,0.0007328,0.0007328,0.0007328
34,2345.14,0.69342,0.38488,0.97239,0.93462,0.94233,0.95964,0.68436,1.04872,0.44994,1.04423,0.0006932,0.0006932,0.0006932
35,2412.33,0.6782,0.37892,0.96406,0.971,0.9339,0.96497,0.67901,1.07082,0.43513,1.05474,0.0006536,0.0006536,0.0006536
36,2481.45,0.67825,0.37167,0.96233,0.96593,0.91778,0.94958,0.66393,1.097,0.46306,1.07852,0.000614,0.000614,0.000614
37,2551.84,0.67698,0.37298,0.9632,0.96171,0.94612,0.96394,0.68132,1.06623,0.43291,1.05187,0.0005744,0.0005744,0.0005744
38,2619.3,0.66597,0.36394,0.95957,0.96096,0.94277,0.96369,0.69102,1.0313,0.43333,1.05005,0.0005348,0.0005348,0.0005348
39,2688.8,0.65749,0.3619,0.95581,0.96322,0.94603,0.96302,0.68516,1.04953,0.42843,1.05613,0.0004952,0.0004952,0.0004952
40,2765.85,0.6528,0.35801,0.95686,0.97423,0.93093,0.9616,0.68568,1.05996,0.43207,1.0551,0.0004556,0.0004556,0.0004556
41,2833.02,0.55758,0.26856,0.89516,0.97068,0.94748,0.96346,0.68804,1.045,0.43254,1.04559,0.000416,0.000416,0.000416
42,2896.43,0.54896,0.2643,0.88954,0.98111,0.9407,0.96245,0.68121,1.07076,0.41895,1.05379,0.0003764,0.0003764,0.0003764
43,2961.05,0.54071,0.26161,0.88558,0.97943,0.94844,0.96516,0.68904,1.05753,0.40979,1.04608,0.0003368,0.0003368,0.0003368
44,3025.52,0.53094,0.25348,0.88457,0.97774,0.94495,0.96523,0.69376,1.04661,0.41637,1.04674,0.0002972,0.0002972,0.0002972
45,3087.42,0.52401,0.25121,0.8806,0.96424,0.94133,0.95966,0.68792,1.05408,0.41829,1.05637,0.0002576,0.0002576,0.0002576
46,3151.75,0.51697,0.24612,0.87931,0.96317,0.94712,0.96238,0.6859,1.07146,0.41437,1.07155,0.000218,0.000218,0.000218
47,3214.96,0.51029,0.24447,0.87843,0.96548,0.9422,0.96353,0.68405,1.07448,0.42067,1.06987,0.0001784,0.0001784,0.0001784
48,3280.93,0.50382,0.24047,0.87628,0.95945,0.94459,0.96088,0.687,1.0639,0.42102,1.06458,0.0001388,0.0001388,0.0001388
49,3345.05,0.49792,0.23685,0.87419,0.97513,0.93716,0.9638,0.68991,1.06784,0.41562,1.06242,9.92e-05,9.92e-05,9.92e-05
50,3408.16,0.49277,0.23606,0.87218,0.97419,0.94321,0.96355,0.68845,1.06712,0.4125,1.06496,5.96e-05,5.96e-05,5.96e-05
