epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6878,1.27953,1.42023,1.2715,0.00213,0.30351,0.00158,0.00043,3.56015,4.23164,3.51778,0.00066453,0.00066453,0.00066453
2,155.635,1.1808,0.83848,1.208,0.08607,0.07787,0.02494,0.00864,2.78747,3.6075,2.39444,0.00130484,0.00130484,0.00130484
3,228.669,1.1464,0.7707,1.18343,0,0,0,0,4.43654,5.37335,4.22039,0.00191875,0.00191875,0.00191875
4,302.043,1.12558,0.73018,1.1677,0.00179,0.00072,0.00026,6e-05,3.3751,5.61654,3.26477,0.0018812,0.0018812,0.0018812
5,374.325,1.08659,0.68298,1.14801,0.76362,0.69383,0.75224,0.33822,2.08258,1.17094,1.97787,0.0018416,0.0018416,0.0018416
6,442.957,1.05031,0.64584,1.1265,0.01726,0.11192,0.01135,0.00228,3.68693,8.08849,4.06191,0.001802,0.001802,0.001802
7,513.119,1.00277,0.60649,1.10457,0.7651,0.51672,0.60431,0.27097,2.11038,1.55036,1.89739,0.0017624,0.0017624,0.0017624
8,584.974,0.97984,0.59445,1.09718,0.00542,0.05071,0.003,0.0006,5.30916,5.05047,7.91692,0.0017228,0.0017228,0.0017228
9,654.218,0.95755,0.57946,1.08281,0.8594,0.77725,0.85445,0.50749,1.38776,0.84195,1.28361,0.0016832,0.0016832,0.0016832
10,723.357,0.93856,0.55783,1.07627,0.95017,0.89784,0.94604,0.63423,1.16601,0.63905,1.1604,0.0016436,0.0016436,0.0016436
11,792.087,0.911,0.53789,1.06265,0.89258,0.79573,0.91228,0.61148,1.14766,0.66489,1.14297,0.001604,0.001604,0.001604
12,861.243,0.89236,0.52547,1.05217,0.832,0.72284,0.82374,0.45803,1.62608,0.9416,1.52514,0.0015644,0.0015644,0.0015644
13,932.304,0.87713,0.51278,1.04682,0.85196,0.75733,0.83736,0.4462,1.67585,0.95845,1.50562,0.0015248,0.0015248,0.0015248
14,1002.07,0.87796,0.50585,1.0442,0.93524,0.90945,0.94993,0.65559,1.14037,0.56426,1.11369,0.0014852,0.0014852,0.0014852
15,1071.76,0.85556,0.50292,1.03484,0.89801,0.83549,0.91108,0.57785,1.33043,0.66878,1.27127,0.0014456,0.0014456,0.0014456
16,1140.19,0.85455,0.49458,1.03565,0.82717,0.74248,0.82261,0.47091,1.61453,0.91239,1.43033,0.001406,0.001406,0.001406
17,1207.79,0.84276,0.48517,1.03144,0.93503,0.80623,0.89688,0.57549,1.29544,0.87282,1.21265,0.0013664,0.0013664,0.0013664
18,1275.82,0.82008,0.46834,1.02217,0.9713,0.93263,0.95703,0.67771,1.10571,0.49462,1.07262,0.0013268,0.0013268,0.0013268
19,1344.29,0.81903,0.47219,1.021,0.95349,0.89842,0.95089,0.67309,1.09276,0.51033,1.09898,0.0012872,0.0012872,0.0012872
20,1412.27,0.80401,0.45964,1.01238,0.85091,0.83512,0.90046,0.5542,1.35553,0.71072,1.29033,0.0012476,0.0012476,0.0012476
21,1483.36,0.78576,0.44691,1.00738,0.9368,0.8602,0.93625,0.65347,1.13463,0.57997,1.13329,0.001208,0.001208,0.001208
22,1556.1,0.79359,0.45022,1.00886,0.47101,0.39877,0.37221,0.15157,2.20254,2.20488,1.97197,0.0011684,0.0011684,0.0011684
23,1628.52,0.77318,0.43909,1.00292,0.95343,0.93431,0.96305,0.68766,1.07587,0.46475,1.07121,0.0011288,0.0011288,0.0011288
24,1701.86,0.7699,0.43707,1.00109,0.93726,0.86575,0.94508,0.65867,1.11775,0.60592,1.12519,0.0010892,0.0010892,0.0010892
25,1775.17,0.75949,0.42513,0.99452,0.08145,0.05867,0.02591,0.00669,3.22571,5.57662,3.36275,0.0010496,0.0010496,0.0010496
26,1847.74,0.74843,0.42155,0.99509,0.96457,0.92688,0.95106,0.68784,1.05421,0.4559,1.0711,0.00101,0.00101,0.00101
27,1917.08,0.74789,0.41763,0.99026,0.98143,0.93951,0.96445,0.68417,1.07878,0.44953,1.07094,0.0009704,0.0009704,0.0009704
28,1985,0.74358,0.41565,0.98856,0.9526,0.93336,0.95737,0.67948,1.07551,0.4755,1.06559,0.0009308,0.0009308,0.0009308
29,2051.46,0.73516,0.4157,0.98991,0.96768,0.93372,0.96274,0.6931,1.05032,0.45675,1.05925,0.0008912,0.0008912,0.0008912
30,2123.24,0.72273,0.40395,0.98213,0.96851,0.92068,0.9604,0.68354,1.06483,0.46723,1.06494,0.0008516,0.0008516,0.0008516
31,2194.43,0.71545,0.39862,0.98089,0.9743,0.93046,0.96479,0.69494,1.0538,0.44401,1.05896,0.000812,0.000812,0.000812
