epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3874,1.28335,1.44618,1.28134,0.69768,0.52227,0.55876,0.2914,1.75437,1.87094,1.6714,0.000665597,0.000665597,0.000665597
2,183.905,1.23629,0.90731,1.24053,0.44616,0.14162,0.1517,0.05533,2.53267,4.20926,2.57053,0.00130588,0.00130588,0.00130588
3,268.865,1.20215,0.82045,1.21731,0.09521,0.03223,0.02387,0.00657,3.01978,3.95943,2.52381,0.00191977,0.00191977,0.00191977
4,360.53,1.16753,0.77716,1.20046,0.75696,0.61365,0.72692,0.41545,1.63055,1.48008,1.43339,0.0018812,0.0018812,0.0018812
5,473.543,1.12519,0.72604,1.17551,0.0096,0.01485,0.00585,0.00158,3.19862,4.77516,3.3842,0.0018416,0.0018416,0.0018416
6,575.933,1.08356,0.6845,1.1531,0.3052,0.25281,0.19592,0.0665,2.37796,2.70223,2.31616,0.001802,0.001802,0.001802
7,656.401,1.04421,0.65024,1.12974,5e-05,0.00217,2e-05,1e-05,5.57488,7.12006,7.7218,0.0017624,0.0017624,0.0017624
8,734.265,1.03429,0.63496,1.13206,0.60422,0.18855,0.23912,0.08278,2.56324,2.92728,2.27257,0.0017228,0.0017228,0.0017228
9,811.032,0.99393,0.60316,1.11222,0.96656,0.92116,0.9581,0.66665,1.1113,0.56602,1.13175,0.0016832,0.0016832,0.0016832
10,889.086,0.97742,0.59181,1.09825,0.22559,0.14343,0.11594,0.04202,3.33431,4.74711,3.52024,0.0016436,0.0016436,0.0016436
11,969.455,0.95175,0.57531,1.08602,0.6074,0.3937,0.44567,0.14775,2.62006,2.32311,2.43351,0.001604,0.001604,0.001604
12,1050.54,0.93379,0.55249,1.07533,0.9696,0.93585,0.96052,0.65433,1.13269,0.55693,1.13302,0.0015644,0.0015644,0.0015644
13,1131.05,0.93341,0.55327,1.07998,0.95031,0.92104,0.95684,0.66669,1.12221,0.55314,1.12989,0.0015248,0.0015248,0.0015248
14,1212.93,0.91281,0.53714,1.06173,0.86458,0.69604,0.80544,0.43215,1.77833,1.05617,1.58792,0.0014852,0.0014852,0.0014852
15,1293.89,0.88347,0.51935,1.05088,0.81146,0.65773,0.74592,0.42361,1.85279,1.13535,1.74773,0.0014456,0.0014456,0.0014456
16,1376.77,0.89253,0.52746,1.05609,0.96113,0.92829,0.95525,0.65094,1.18022,0.5333,1.13754,0.001406,0.001406,0.001406
17,1458.2,0.88353,0.51317,1.05204,0.90852,0.89243,0.93183,0.59768,1.27999,0.67913,1.24817,0.0013664,0.0013664,0.0013664
18,1540.63,0.86754,0.5077,1.04677,0.9393,0.94169,0.96063,0.67159,1.11447,0.51265,1.10155,0.0013268,0.0013268,0.0013268
19,1620.32,0.8626,0.4998,1.04361,0.70086,0.60522,0.68322,0.38032,1.72916,1.71491,1.59515,0.0012872,0.0012872,0.0012872
20,1700.36,0.84897,0.48761,1.03671,0.97756,0.94966,0.96389,0.67363,1.13251,0.49368,1.12458,0.0012476,0.0012476,0.0012476
21,1780.21,0.8289,0.47806,1.02747,0.95565,0.95211,0.96379,0.68159,1.10302,0.48298,1.09104,0.001208,0.001208,0.001208
22,1859.77,0.8238,0.47041,1.02643,0.95273,0.94241,0.96077,0.67341,1.10895,0.521,1.1231,0.0011684,0.0011684,0.0011684
23,1941,0.82139,0.46596,1.02395,0.93517,0.93553,0.95364,0.67582,1.12863,0.5294,1.10976,0.0011288,0.0011288,0.0011288
24,2021.09,0.80601,0.46402,1.02172,0.9545,0.94206,0.96156,0.68782,1.10957,0.4833,1.0996,0.0010892,0.0010892,0.0010892
25,2113.88,0.79403,0.45395,1.01422,0.97219,0.94946,0.96537,0.68837,1.08542,0.45959,1.09252,0.0010496,0.0010496,0.0010496
26,2225.17,0.79352,0.45668,1.01291,0.94189,0.92168,0.95445,0.66445,1.16041,0.53193,1.12052,0.00101,0.00101,0.00101
27,2335.63,0.77545,0.44326,1.00353,0.95073,0.89569,0.94963,0.63467,1.2413,0.56564,1.14184,0.0009704,0.0009704,0.0009704
28,2442.65,0.774,0.43724,1.00417,0.962,0.94451,0.96284,0.67598,1.1338,0.47211,1.10295,0.0009308,0.0009308,0.0009308
29,2528.33,0.77035,0.43403,1.00403,0.95716,0.94784,0.96421,0.68921,1.08293,0.46976,1.07333,0.0008912,0.0008912,0.0008912
30,2619.19,0.76097,0.43188,0.99736,0.97326,0.95074,0.96566,0.70149,1.05978,0.4482,1.06131,0.0008516,0.0008516,0.0008516
31,2722.11,0.75366,0.4263,0.99645,0.95271,0.95762,0.96495,0.7006,1.06706,0.45017,1.05273,0.000812,0.000812,0.000812
32,2810.01,0.74588,0.42335,0.99419,0.96822,0.95364,0.96492,0.70055,1.06444,0.44356,1.0537,0.0007724,0.0007724,0.0007724
33,2901.45,0.73812,0.41434,0.98999,0.96703,0.95603,0.96649,0.70131,1.06398,0.43566,1.04835,0.0007328,0.0007328,0.0007328
34,2998.59,0.73381,0.41214,0.98603,0.96449,0.94748,0.95814,0.68655,1.07519,0.45784,1.06136,0.0006932,0.0006932,0.0006932
35,3101.48,0.72696,0.40323,0.98187,0.95474,0.95618,0.96317,0.69332,1.07177,0.44817,1.05433,0.0006536,0.0006536,0.0006536
36,3208.81,0.71789,0.40166,0.98144,0.96143,0.94808,0.96643,0.68939,1.10292,0.45548,1.06412,0.000614,0.000614,0.000614
37,3313.25,0.71272,0.39818,0.97787,0.96773,0.95835,0.96589,0.68801,1.10816,0.4531,1.07424,0.0005744,0.0005744,0.0005744
38,3396.13,0.70602,0.38939,0.97562,0.98361,0.95615,0.96658,0.69288,1.09408,0.43495,1.06355,0.0005348,0.0005348,0.0005348
39,3509.38,0.69899,0.38521,0.97469,0.9803,0.95536,0.96572,0.70163,1.05849,0.43425,1.04404,0.0004952,0.0004952,0.0004952
40,3615.12,0.69359,0.38422,0.97111,0.98617,0.95561,0.96588,0.69621,1.07872,0.4297,1.0495,0.0004556,0.0004556,0.0004556
41,3725.63,0.6008,0.29279,0.91306,0.99044,0.96161,0.96615,0.70233,1.07357,0.41647,1.05066,0.000416,0.000416,0.000416
42,3814.3,0.58549,0.28287,0.90329,0.98994,0.96161,0.97218,0.69599,1.09069,0.41285,1.05589,0.0003764,0.0003764,0.0003764
43,3899.32,0.57914,0.27583,0.90682,0.98548,0.95836,0.96884,0.70129,1.08381,0.42054,1.05735,0.0003368,0.0003368,0.0003368
44,3980.35,0.57398,0.27316,0.90346,0.9815,0.94929,0.96867,0.69567,1.08657,0.42738,1.05642,0.0002972,0.0002972,0.0002972
45,4061.52,0.56054,0.2676,0.89845,0.98785,0.96052,0.97087,0.69889,1.10041,0.4136,1.06507,0.0002576,0.0002576,0.0002576
46,4141.58,0.55432,0.26541,0.89519,0.98738,0.96327,0.97203,0.69645,1.11086,0.41544,1.07419,0.000218,0.000218,0.000218
47,4222.78,0.54774,0.25888,0.89154,0.98734,0.96037,0.97242,0.7022,1.09907,0.41616,1.0652,0.0001784,0.0001784,0.0001784
48,4305.15,0.54053,0.25867,0.88999,0.98058,0.95726,0.96988,0.70107,1.09389,0.42032,1.06138,0.0001388,0.0001388,0.0001388
49,4386.73,0.53328,0.25219,0.88916,0.98355,0.95272,0.97103,0.69997,1.09293,0.41982,1.05987,9.92e-05,9.92e-05,9.92e-05
50,4466.86,0.53032,0.25102,0.88585,0.98618,0.95183,0.97002,0.7001,1.09286,0.41944,1.06143,5.96e-05,5.96e-05,5.96e-05
