epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.947,0.94497,1.69726,1.20596,0.00041,0.15173,0.00033,7e-05,4.68218,4.04213,4.732,0.00332825,0.00332825,0.00332825
2,634.898,0.84209,0.75335,1.11859,0.88368,0.62487,0.66105,0.51777,1.45447,1.5269,1.75382,0.00652969,0.00652969,0.00652969
3,934.304,0.90176,0.69638,1.14507,0.22748,0.0597,0.0395,0.01588,3.12514,4.51661,3.22988,0.00959912,0.00959912,0.00959912
4,1224.39,0.88281,0.65084,1.13458,0.62959,0.44058,0.45547,0.25768,1.98556,2.25348,2.00859,0.009406,0.009406,0.009406
5,1513.26,0.80601,0.58502,1.0972,0.87351,0.61624,0.70158,0.51806,1.31905,1.30176,1.48849,0.009208,0.009208,0.009208
6,1805.44,0.76506,0.54825,1.07768,0.95169,0.95402,0.9821,0.78453,0.71035,0.41459,1.05276,0.00901,0.00901,0.00901
7,2101.39,0.73432,0.5222,1.06293,0.49608,0.41631,0.45427,0.26856,2.04177,2.14281,2.14086,0.008812,0.008812,0.008812
8,2398.81,0.70538,0.50221,1.0478,0.95373,0.92247,0.96961,0.81052,0.66967,0.42987,1.0305,0.008614,0.008614,0.008614
9,2697.65,0.68997,0.49066,1.04129,0.96446,0.9676,0.98872,0.85895,0.54927,0.34457,0.95566,0.008416,0.008416,0.008416
10,2987.97,0.67175,0.47999,1.03359,0.9635,0.93063,0.97784,0.81619,0.65864,0.38789,1.03485,0.008218,0.008218,0.008218
11,3281.32,0.66047,0.46912,1.02969,0.9841,0.98815,0.99378,0.90594,0.4424,0.23493,0.89541,0.00802,0.00802,0.00802
12,3566.33,0.65093,0.46165,1.02287,0.98693,0.99068,0.99409,0.90824,0.4332,0.229,0.88819,0.007822,0.007822,0.007822
13,3845.41,0.63894,0.4552,1.01794,0.99044,0.98938,0.99425,0.90819,0.4343,0.22242,0.89181,0.007624,0.007624,0.007624
14,4128.84,0.63757,0.44833,1.01493,0.98295,0.98815,0.99382,0.90327,0.4635,0.23385,0.91796,0.007426,0.007426,0.007426
15,4411.86,0.62597,0.44255,1.01229,0.99126,0.99149,0.9942,0.9182,0.40396,0.20582,0.87553,0.007228,0.007228,0.007228
16,4693.97,0.61872,0.43742,1.0085,0.99002,0.9927,0.99435,0.92071,0.3957,0.19954,0.87296,0.00703,0.00703,0.00703
17,4989.56,0.61207,0.43187,1.00611,0.99229,0.9914,0.99432,0.9176,0.40386,0.19999,0.87655,0.006832,0.006832,0.006832
18,5278.91,0.60233,0.42615,1.00116,0.98953,0.98969,0.99431,0.9207,0.39614,0.19701,0.87299,0.006634,0.006634,0.006634
19,5568.3,0.60162,0.42267,1.00263,0.99084,0.98792,0.99438,0.92163,0.39259,0.19481,0.87064,0.006436,0.006436,0.006436
20,5860.02,0.59452,0.41968,1.00044,0.98702,0.98869,0.99428,0.923,0.38587,0.19416,0.86541,0.006238,0.006238,0.006238
21,6147.73,0.58898,0.4165,0.99807,0.98714,0.98913,0.99422,0.92391,0.38348,0.19196,0.86521,0.00604,0.00604,0.00604
22,6437.79,0.58139,0.41103,0.99288,0.98345,0.99112,0.99426,0.92278,0.38412,0.19021,0.8671,0.005842,0.005842,0.005842
23,6726.31,0.5747,0.40669,0.98992,0.98521,0.98965,0.99424,0.92445,0.37952,0.18809,0.86496,0.005644,0.005644,0.005644
24,7018.86,0.57206,0.40466,0.98915,0.98445,0.99024,0.99417,0.92583,0.37454,0.18651,0.86209,0.005446,0.005446,0.005446
25,7300.7,0.56494,0.39908,0.98558,0.98323,0.99153,0.99413,0.92749,0.37163,0.18414,0.86086,0.005248,0.005248,0.005248
26,7580.76,0.56536,0.39827,0.98675,0.98368,0.99149,0.99414,0.92833,0.36841,0.18215,0.85965,0.00505,0.00505,0.00505
27,7864.54,0.55851,0.39752,0.98104,0.98355,0.99172,0.99414,0.92884,0.36786,0.18095,0.859,0.004852,0.004852,0.004852
28,8151.25,0.55659,0.39191,0.98356,0.98397,0.99137,0.99417,0.9289,0.36703,0.18092,0.85861,0.004654,0.004654,0.004654
